Samples,Replicates,Total,trt
Low_phosphate,A,88,Sand
Low_phosphate,B,95,Sand
Low_phosphate,C,87,Sand
Low_phosphate,D,74,Sand
Low_phosphate,E,95,Sand
Low_phosphate,F,93,Sand
Low_phosphate,G,80,Sand
High_phosphate,A,21,Sand
High_phosphate,B,7,Sand
High_phosphate,C,5,Sand
High_phosphate,D,18,Sand
High_phosphate,E,7,Sand
High_phosphate,F,17,Sand
High_phosphate,G,2,Sand
Low_phosphate,A,78,ST
Low_phosphate,B,87,ST
Low_phosphate,C,60,ST
Low_phosphate,D,71,ST
Low_phosphate,E,58,ST
High_phosphate,A,60,ST
High_phosphate,B,57,ST
High_phosphate,C,60,ST
High_phosphate,D,41,ST
High_phosphate,E,60,ST
Low_phosphate,A,92,SC
Low_phosphate,B,95,SC
Low_phosphate,C,98,SC
Low_phosphate,D,94,SC
Low_phosphate,E,91,SC
High_phosphate,A,76,SC
High_phosphate,B,83,SC
High_phosphate,C,93,SC
High_phosphate,D,92,SC
High_phosphate,E,83,SC
